Country,Region,Test,Round,Year,Subject,Mean,StDev,Per5,Per10,Per25,Per75,Per90,Per95,Mean-M,Mean-F,Con-Num,Con-Alg,Con-Meas,Con-Geom,Con-Data,Con-Num-F,Con-Num-M,Con-Alg-F,Con-Alg-M,Con-Meas-F,Con-Meas-M,Con-Geom-F,Con-Geom-M,Con-Data-F,Con-Data-M,Con-SS,Con-SS-M,Con-SS-F,Con-CR,Con-CR-M,Con-CR-F,Con-Quant,Con-Quant-M,Con-Quant-F,Con-Un,Con-Un-M,Con-Un-F
Australia,Western,PISA,1,2003,Math,524,95,364,399,460,592,645,676,527,522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,521,526,515,525,527,523,517,518,516,531,535,527
Austria,Western,PISA,1,2003,Math,506,93,353,384,439,571,626,658,509,502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,515,525,506,500,502,497,513,515,512,494,498,490
Belgium,Western,PISA,1,2003,Math,529,110,334,381,456,611,664,693,533,525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,530,538,520,535,539,531,530,530,529,526,529,522
Canada,Western,PISA,1,2003,Math,532,87,386,419,474,593,644,673,541,530,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,518,530,511,537,546,532,528,533,528,542,551,538
Czech Republic,Eastern,PISA,1,2003,Math,516,96,358,392,449,584,641,672,524,509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,527,542,512,515,521,508,528,531,525,500,509,492
Denmark,Western,PISA,1,2003,Math,514,91,361,396,453,578,632,662,523,506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,512,521,504,509,520,499,516,520,511,516,527,505
Finland,Western,PISA,1,2003,Math,544,84,406,438,488,603,652,680,548,541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,539,540,538,543,549,537,549,550,547,545,551,539
France,Western,PISA,1,2003,Math,511,92,352,389,449,575,628,656,515,507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,508,517,499,520,522,518,507,508,506,506,512,501
Germany,Western,PISA,1,2003,Math,503,103,324,363,432,578,632,662,508,499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,500,506,494,507,514,502,514,515,514,493,502,484
Greece,Western,PISA,1,2003,Math,445,94,288,324,382,508,566,598,455,436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,437,447,428,436,445,427,446,458,435,458,469,449
Hungary,Western,PISA,1,2003,Math,490,94,335,370,426,556,611,644,494,486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,479,486,471,495,499,490,496,497,495,489,493,485
Iceland,Western,PISA,1,2003,Math,515,90,362,396,454,578,629,658,508,523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,504,496,511,509,505,514,513,500,528,528,524,532
Ireland,Western,PISA,1,2003,Math,503,85,360,393,445,562,614,641,510,495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,476,489,463,506,512,500,502,506,497,517,525,509
Italy,Western,PISA,1,2003,Math,466,96,307,342,400,530,589,623,475,457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,470,480,462,452,463,442,475,481,469,463,475,451
Japan,Eastern,PISA,1,2003,Math,534,101,361,402,467,605,660,690,539,530,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,553,558,549,536,539,533,527,528,525,528,535,521
Korea,Eastern,PISA,1,2003,Math,542,92,388,423,479,606,659,690,552,528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,552,563,536,548,558,532,537,546,524,538,547,525
Luxembourg,Western,PISA,1,2003,Math,493,92,338,373,430,557,611,641,502,485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,488,503,474,487,494,480,501,506,497,492,503,481
Mexico,Western,PISA,1,2003,Math,385,85,247,276,327,444,497,527,391,380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,382,390,374,364,368,360,394,400,388,390,392,388
Netherlands,Western,PISA,1,2003,Math,538,93,385,415,471,608,657,683,540,535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,526,530,522,551,554,548,528,526,530,549,554,544
New Zealand,Western,PISA,1,2003,Math,523,98,358,394,455,593,650,682,531,516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,525,534,516,526,534,517,511,517,505,532,538,526
Norway,Western,PISA,1,2003,Math,495,92,343,376,433,560,614,645,498,492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,483,486,479,488,490,486,494,494,494,513,518,508
Poland,Western,PISA,1,2003,Math,490,90,343,376,428,553,607,640,493,487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,490,497,484,484,488,481,492,493,491,494,495,492
Portugal,Western,PISA,1,2003,Math,466,88,321,352,406,526,580,610,472,460,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,450,458,443,468,475,462,465,473,459,471,476,466
Slovak Republic,Eastern,PISA,1,2003,Math,498,93,342,379,436,565,619,648,507,489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,505,522,487,494,502,486,513,519,506,476,484,467
Spain,Western,PISA,1,2003,Math,485,88,335,369,426,546,597,626,490,481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,476,486,467,481,485,477,492,495,490,489,493,485
Sweden,Western,PISA,1,2003,Math,509,95,353,387,446,576,630,662,512,506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,498,503,493,505,506,504,514,515,512,511,515,506
Switzerland,Western,PISA,1,2003,Math,527,98,359,396,461,595,652,684,535,518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,540,552,526,523,530,515,533,536,529,517,526,506
Turkey,Western,PISA,1,2003,Math,423,105,270,300,351,485,560,614,430,415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,417,423,411,423,425,419,413,421,404,443,451,432
United States,Western,PISA,1,2003,Math,483,95,323,356,418,550,607,638,486,480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,472,480,464,486,488,483,476,478,474,491,493,490
Brazil,Western,PISA,1,2003,Math,356,100,203,233,286,419,488,528,365,348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,350,358,343,333,344,324,360,370,351,377,385,369
Hong Kong SAR,Eastern,PISA,1,2003,Math,550,100,374,417,485,622,672,700,552,548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,558,560,556,540,540,539,545,544,546,558,564,552
Indonesia,Eastern,PISA,1,2003,Math,360,81,233,260,306,412,466,499,362,358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,361,369,353,334,336,332,357,359,356,385,382,387
Latvia,Eastern,PISA,1,2003,Math,483,88,339,371,424,544,596,626,485,482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,486,494,480,487,487,488,482,483,480,474,474,474
Liechtenstein,Western,PISA,1,2003,Math,536,99,362,408,470,609,655,686,550,521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,538,557,518,540,552,526,534,544,523,523,538,508
Macao-China,Eastern,PISA,1,2003,Math,527,87,382,414,467,587,639,668,538,517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,528,540,517,519,529,509,533,542,525,532,541,523
Russian Federation,Eastern,PISA,1,2003,Math,468,92,319,351,406,530,588,622,473,463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,474,485,464,477,479,475,472,476,469,436,441,432
Serbia,Eastern,PISA,1,2003,Math,437,85,299,329,379,493,546,579,437,436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,432,434,431,419,420,418,456,455,458,428,431,425
Thailand,Western,PISA,1,2003,Math,417,82,290,316,361,469,526,560,415,419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,424,426,422,405,400,409,415,412,417,423,420,425
Tunisia,Western,PISA,1,2003,Math,359,82,229,256,303,412,466,501,365,353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,359,367,351,337,342,331,364,372,357,363,367,360
Uruguay,Western,PISA,1,2003,Math,422,100,255,291,353,491,550,583,428,416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,412,423,402,417,420,414,430,436,424,419,423,415
Australia,Western,PISA,1,2003,Science,525,102,351,391,457,596,652,686,525,525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Austria,Western,PISA,1,2003,Science,491,97,327,363,423,561,615,644,490,492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belgium,Western,PISA,1,2003,Science,509,107,320,364,436,588,640,668,509,509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Canada,Western,PISA,1,2003,Science,519,99,352,389,452,588,644,676,527,516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Czech Republic,Eastern,PISA,1,2003,Science,523,101,356,391,453,594,652,686,526,520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Denmark,Western,PISA,1,2003,Science,475,102,306,343,407,547,605,638,484,467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Finland,Western,PISA,1,2003,Science,548,91,393,429,488,611,662,691,545,551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
France,Western,PISA,1,2003,Science,511,111,321,363,435,591,651,682,511,511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Germany,Western,PISA,1,2003,Science,502,111,307,351,427,584,640,672,506,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Greece,Western,PISA,1,2003,Science,481,101,315,349,412,552,610,643,487,475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hungary,Western,PISA,1,2003,Science,503,97,340,375,437,572,628,658,503,504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Iceland,Western,PISA,1,2003,Science,495,96,331,369,432,562,616,647,490,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ireland,Western,PISA,1,2003,Science,505,93,348,384,442,572,625,652,506,504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Italy,Western,PISA,1,2003,Science,486,108,303,344,415,563,622,656,490,484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Japan,Eastern,PISA,1,2003,Science,548,109,357,402,475,624,682,715,550,546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Korea,Eastern,PISA,1,2003,Science,538,101,365,405,473,609,663,695,546,527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luxembourg,Western,PISA,1,2003,Science,483,103,309,347,413,556,614,645,489,477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mexico,Western,PISA,1,2003,Science,405,87,264,295,347,462,517,551,410,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Netherlands,Western,PISA,1,2003,Science,524,99,363,394,451,599,653,682,527,522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New Zealand,Western,PISA,1,2003,Science,521,104,347,382,448,596,653,687,529,513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Norway,Western,PISA,1,2003,Science,484,104,312,349,414,557,616,651,485,483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Poland,Western,PISA,1,2003,Science,498,102,333,367,426,570,630,666,501,494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Portugal,Western,PISA,1,2003,Science,468,93,310,346,405,533,587,618,471,465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Slovak Republic,Eastern,PISA,1,2003,Science,495,102,331,367,428,566,625,657,502,487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spain,Western,PISA,1,2003,Science,487,100,318,355,421,557,613,644,489,485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sweden,Western,PISA,1,2003,Science,506,107,327,368,435,581,642,673,509,504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Switzerland,Western,PISA,1,2003,Science,513,108,328,369,440,588,648,683,518,508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Turkey,Western,PISA,1,2003,Science,434,96,295,321,367,492,560,609,434,434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
United States,Western,PISA,1,2003,Science,491,102,322,359,420,564,622,654,494,489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brazil,Western,PISA,1,2003,Science,390,98,235,268,323,452,520,560,393,387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hong Kong SAR,Eastern,PISA,1,2003,Science,539,94,373,412,478,608,653,680,538,541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indonesia,Eastern,PISA,1,2003,Science,395,68,285,310,350,438,483,512,396,394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Latvia,Eastern,PISA,1,2003,Science,489,93,336,370,425,553,609,642,487,491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Liechtenstein,Western,PISA,1,2003,Science,525,103,351,389,450,598,659,690,538,512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Macao-China,Eastern,PISA,1,2003,Science,525,88,375,410,465,587,635,663,529,521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Russian Federation,Eastern,PISA,1,2003,Science,489,100,324,359,422,558,617,652,494,485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Serbia,Eastern,PISA,1,2003,Science,436,83,305,332,380,492,544,576,434,439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thailand,Western,PISA,1,2003,Science,429,81,303,329,373,480,537,571,425,433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tunisia,Western,PISA,1,2003,Science,385,87,244,274,325,444,498,530,380,390,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Uruguay,Western,PISA,1,2003,Science,438,109,257,296,363,516,579,613,441,436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Australia,Western,PISA,3,2012,Math,504,96,348,382,437,571,630,663,510,498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,497,506,486,509,515,503,500,505,495,508,511,504
Austria,Western,PISA,3,2012,Math,506,92,353,384,440,572,624,654,517,494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,501,519,483,506,518,495,510,519,502,499,508,489
Belgium,Western,PISA,3,2012,Math,515,102,342,378,443,589,646,677,520,509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,509,518,500,513,517,509,519,524,513,508,511,504
Canada,Western,PISA,3,2012,Math,518,89,370,402,457,580,633,663,523,513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,510,515,505,525,532,518,515,520,511,516,521,512
Chile,Western,PISA,3,2012,Math,423,81,299,323,365,476,532,563,436,411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,419,435,404,411,428,396,421,433,411,430,440,421
Czech Republic,Eastern,PISA,3,2012,Math,499,95,344,377,432,566,621,653,505,493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,499,509,487,499,503,496,505,510,500,488,493,483
Denmark,Western,PISA,3,2012,Math,500,82,363,393,444,556,607,635,507,493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,497,504,490,494,502,486,502,510,495,505,512,498
Estonia,Eastern,PISA,3,2012,Math,521,81,389,417,465,576,626,657,523,518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,513,515,510,530,533,527,525,528,521,510,513,507
Finland,Western,PISA,3,2012,Math,519,85,376,409,463,577,629,657,517,520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,507,506,507,520,521,520,527,525,528,519,516,521
France,Western,PISA,3,2012,Math,495,97,330,365,429,565,621,652,499,491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,489,497,481,497,503,491,496,501,492,492,492,492
Germany,Western,PISA,3,2012,Math,514,96,353,385,447,583,637,667,520,507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,507,515,499,516,521,510,517,524,510,509,516,502
Greece,Western,PISA,3,2012,Math,453,88,308,338,393,513,567,597,457,449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,436,442,431,446,448,444,455,461,450,460,463,458
Hungary,Western,PISA,3,2012,Math,477,94,327,358,411,540,603,637,482,473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,474,482,465,481,485,479,476,480,472,476,479,472
Iceland,Western,PISA,3,2012,Math,493,92,339,372,431,557,612,641,490,496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,489,485,493,487,485,488,496,494,499,496,491,501
Ireland,Western,PISA,3,2012,Math,501,85,359,391,445,559,610,640,509,494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,478,490,465,501,508,494,505,512,498,509,516,501
Israel,Western,PISA,3,2012,Math,466,105,292,328,393,541,603,639,472,461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,449,456,443,462,469,456,480,486,473,465,471,459
Italy,Western,PISA,3,2012,Math,485,93,333,366,421,550,607,639,494,476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,487,498,476,477,486,467,491,499,482,482,490,475
Japan,Eastern,PISA,3,2012,Math,536,94,377,415,473,603,657,686,545,527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,558,566,548,542,553,531,518,527,508,528,534,522
Korea,Eastern,PISA,3,2012,Math,554,99,386,425,486,624,679,710,562,544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,573,583,562,559,569,548,537,543,531,538,546,528
Luxembourg,Western,PISA,3,2012,Math,490,95,334,363,422,558,613,644,502,477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,486,503,469,488,500,475,495,506,483,483,494,471
Mexico,Western,PISA,3,2012,Math,413,74,295,320,362,462,510,539,420,406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,413,423,402,405,410,399,414,422,406,413,417,409
Netherlands,Western,PISA,3,2012,Math,523,92,367,397,457,591,638,665,528,518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,507,515,499,518,522,514,532,537,527,532,536,527
New Zealand,Western,PISA,3,2012,Math,500,100,340,371,428,570,632,665,507,492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,491,504,477,501,509,492,499,506,492,506,509,502
Norway,Western,PISA,3,2012,Math,489,90,341,373,428,552,604,638,490,488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,480,481,478,478,479,476,492,494,491,497,496,497
Poland,Western,PISA,3,2012,Math,518,90,373,402,454,580,636,669,520,516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,524,528,520,509,510,509,519,521,516,517,518,516
Portugal,Western,PISA,3,2012,Math,487,94,333,363,421,554,610,640,493,481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,491,498,483,486,490,482,481,487,475,486,492,480
Slovak Republic,Eastern,PISA,3,2012,Math,482,101,314,352,413,553,613,647,486,477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,490,496,482,474,476,472,486,492,481,472,477,466
Slovenia,Eastern,PISA,3,2012,Math,501,92,357,384,434,566,624,655,503,499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,503,506,500,499,501,497,504,508,500,496,495,497
Spain,Western,PISA,3,2012,Math,484,88,339,370,424,546,597,626,492,476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,477,486,468,482,490,473,491,501,481,487,495,478
Sweden,Western,PISA,3,2012,Math,478,92,329,360,415,543,596,627,477,480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,469,470,467,469,466,472,482,478,485,483,482,483
Switzerland,Western,PISA,3,2012,Math,531,94,374,408,466,597,651,681,537,524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,544,554,535,530,536,524,531,536,526,522,529,514
Turkey,Western,PISA,3,2012,Math,448,91,313,339,382,507,577,614,452,444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,443,449,437,448,448,449,442,449,435,447,452,443
United Kingdom,Western,PISA,3,2012,Math,494,95,336,371,429,560,616,648,500,488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,475,482,469,496,504,489,494,501,488,502,509,496
United States,Western,PISA,3,2012,Math,481,90,339,368,418,543,600,634,484,479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,463,467,460,488,490,486,478,481,475,488,489,487
Albania,Eastern,PISA,3,2012,Math,394,91,236,278,338,454,510,540,394,395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,418,413,423,388,387,389,386,389,383,386,385,388
Argentina,Western,PISA,3,2012,Math,388,77,264,292,337,440,488,514,396,382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,385,393,378,379,387,371,391,398,385,389,395,383
Brazil,Western,PISA,3,2012,Math,391,78,275,298,337,440,495,530,401,383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,381,393,369,372,382,362,393,403,384,402,408,396
Bulgaria,Eastern,PISA,3,2012,Math,439,94,290,320,372,503,565,597,438,440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,442,442,442,434,433,436,443,442,443,432,430,433
Colombia,Western,PISA,3,2012,Math,376,74,262,285,326,423,474,506,390,364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,369,387,353,357,372,343,375,392,360,388,395,382
Costa Rica,Western,PISA,3,2012,Math,407,68,301,323,361,449,496,525,420,396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,397,412,385,402,413,392,406,422,393,414,425,405
